"Monatscode","Uebernachtungen","Ankuenfte","Aufenthaltsdauer"
"1301",27916,14780,1.88876860622463
"1302",32608,16375,1.99132824427481
"1303",41251,19302,2.13713604807792
"1304",42060,21811,1.92838475998349
"1305",60580,31696,1.91128218071681
"1306",66581,33543,1.98494469785052
"1307",68368,34429,1.98576781201894
"1308",74153,38440,1.92905827263267
"1309",59520,29594,2.01121849023451
"1310",51440,24341,2.11330676636128
"1311",44955,22457,2.00182571135949
"1312",38590,20839,1.85181630596478
"1401",32835,16276,2.01738756451217
"1402",40129,19724,2.03452646522004
"1403",46487,21307,2.18177124888534
"1404",51705,24572,2.10422432036464
"1405",65484,32832,1.99451754385965
"1406",68883,34689,1.98573034679581
"1407",72513,36579,1.98236693184614
"1408",76472,38421,1.99036984982171
"1409",57115,30054,1.90041259067013
"1410",53110,27347,1.942077741617
"1411",48336,25188,1.91900905192949
"1412",44855,23228,1.93107456517996
"1501",33376,16604,2.01011804384486
"1502",40958,19514,2.09890335143999
"1503",51435,23227,2.21444870194171
"1504",23735,48844,0.485934812873639
"1505",64598,32574,1.98311536808498
"1506",71070,35555,1.9988749824216
"1507",78622,41030,1.91620765293688
"1508",76009,38934,1.95225252992243
"1509",62303,31018,2.00860790508737
"1510",54764,27944,1.95977669624964
"1511",48736,25383,1.92002521372572
"1512",45711,24510,1.86499388004896
"1601",34647,16905,2.04951197870453
"1602",40406,21862,1.84822980514134
"1603",46846,22764,2.05789843612722
"1604",48765,25277,1.92922419590932
"1605",60357,32164,1.8765389876881
"1606",68233,35449,1.92482157465655
"1607",79893,45491,1.75623749752698
"1608",75606,39295,1.92406158544344
"1609",64834,34198,1.8958418620972
"1610",28674,56974,0.503282198897743
"1611",47601,25745,1.848941542047
"1612",46315,25376,1.82514974779319
"1701",35192,17835,1.97319876647042
"1702",40392,20708,1.95055051187947
"1703",54481,24786,2.19805535382877
"1704",53703,25932,2.07091624248033
"1705",63650,32034,1.98695136417556
"1706",75087,37210,2.01792528890083
"1707",84367,44062,1.91473378421315
"1708",79222,39048,2.02883630403606
"1709",71119,34818,2.04259291171233
"1710",59308,27342,2.16911710920927
"1711",55123,26020,2.1184857801691
"1712",54083,27471,1.96873066142478
"1801",42934,19219,2.23393516832301
"1802",49039,22844,2.14669059709333
"1803",56228,26017,2.16120229080986
"1804",57019,26677,2.13738426359786
"1805",79752,37489,2.1273440209128
"1806",83974,41664,2.01550499231951
"1807",88945,46488,1.91328945104113
"1808",85617,43268,1.97876028473699
"1809",76572,35605,2.15059682628844
"1810",65655,30005,2.18813531078154
"1811",59823,28202,2.12123253669952
"1812",59830,28297,2.11435841255257
"1901",47535,20678,2.29882000193442
"1902",53687,24416,2.19884501965924
"1903",61608,27664,2.22700983227299
"1904",61296,28596,2.14351657574486
"1905",40965,82098,0.498976832565958
"1906",91590,45798,1.99986898991222
"1907",97177,49741,1.95365995858547
"1908",95681,48473,1.97390299754503
"1909",79539,38443,2.06901126342897
"1910",69721,31297,2.22772150685369
"1911",67184,29291,2.29367382472432
"1912",59190,27895,2.12188564258828
